year,PLZ3,gisd_score,population,gisd_5,gisd_10,gisd_k
1998,730,0.48114,161524,2,4,2
1998,731,0.47993,32279,2,4,2
1998,732,0.27524,155779,1,1,1
1998,733,0.47479,62809,2,4,2
1998,734,0.38725,183406,1,2,1
1998,735,0.38448,138500,1,2,1
1998,736,0.38342,122575,1,2,1
1998,737,0.26423,180906,1,1,1
1998,740,0.57289,126957,3,6,2
1998,741,0.34771,104808,1,2,1
1998,742,0.35424,109310,1,2,1
1998,743,0.31334,198194,1,1,1
1998,744,0.47002,37281,2,4,2
1998,745,0.48448,170625,2,4,2
1998,746,0.43198,104699,2,3,2
1998,747,0.57386,63260,3,6,2
1998,748,0.47902,119525,2,4,2
1998,749,0.35972,75171,1,2,1
1998,750,0.35522,93031,1,2,1
1998,751,0.66677,139451,4,8,2
1998,752,0.34163,84094,1,2,1
1998,753,0.44129,121256,2,3,2
1998,754,0.33676,66847,1,1,1
1998,761,0.36185,209844,1,2,1
1998,762,0.35532,183240,1,2,1
1998,763,0.36156,116834,1,2,1
1998,764,0.38312,108073,1,2,1
1998,765,0.34769,127531,1,2,1
1998,766,0.35914,127660,1,2,1
1998,767,0.48207,129065,2,4,2
1998,768,0.53171,168864,3,5,2
1998,776,0.48823,99138,2,4,2
1998,777,0.48736,157623,2,4,2
1998,778,0.44213,124943,2,3,2
1998,779,0.49312,120010,3,5,2
1998,780,0.50743,126626,3,5,2
1998,781,0.51274,113476,3,5,2
1998,782,0.52667,120838,3,5,2
1998,783,0.52062,75227,3,5,2
1998,784,0.52335,98567,3,5,2
1998,785,0.55128,101774,3,6,2
1998,786,0.49615,94307,3,5,2
1998,787,0.4635,42573,2,4,2
1998,790,0.4064,1721,2,3,2
1998,791,0.41015,298699,2,3,2
1998,792,0.42252,172826,2,3,2
1998,793,0.43915,141554,2,3,2
1998,794,0.49446,45172,3,5,2
1998,795,0.55933,112070,3,6,2
1998,796,0.57013,111486,3,6,2
1998,797,0.63904,123702,4,8,2
1998,798,0.53396,76199,3,5,2
1998,803,0.18091,43190,1,1,1
1998,804,0.18091,6534,1,1,1
1998,805,0.18091,13370,1,1,1
1998,806,0.1809,101844,1,1,1
1998,807,0.18091,17548,1,1,1
1998,808,0.1809,93077,1,1,1
1998,809,0.18057,376911,1,1,1
1998,812,0.18102,238636,1,1,1
1998,813,0.18079,109888,1,1,1
1998,814,0.18042,65121,1,1,1
1998,815,0.17942,84531,1,1,1
1998,816,0.18091,69519,1,1,1
1998,817,0.1805,77475,1,1,1
1998,818,0.17961,107220,1,1,1
1998,819,0.18055,98333,1,1,1
1998,820,0,113208,1,1,1
1998,821,0.15331,162041,1,1,1
1998,822,0.18178,173213,1,1,1
1998,823,0.2348,140638,1,1,1
1998,824,0.3911,109125,1,2,1
1998,825,0.28907,62011,1,1,1
1998,830,0.38761,182219,1,2,1
1998,831,0.35406,67903,1,2,1
1998,832,0.36451,76997,1,2,1
1998,833,0.39935,135704,2,3,2
1998,834,0.44972,88403,2,4,2
1998,835,0.39289,69680,2,3,2
1998,836,0.27945,111148,1,1,1
1998,837,0.23584,58931,1,1,1
1998,840,0.41552,213596,2,3,2
1998,841,0.38518,141531,1,2,1
1998,843,0.50587,101530,3,5,2
1998,844,0.44885,134400,2,4,2
1998,845,0.42527,135697,2,3,2
1998,850,0.33157,219486,1,1,1
1998,851,0.33638,76220,1,1,1
1998,852,0.30398,192266,1,1,1
1998,853,0.29198,151197,1,1,1
1998,854,0.29951,125107,1,1,1
1998,855,0.06869,152794,1,1,1
1998,856,0.08694,137958,1,1,1
1998,857,0.07806,127210,1,1,1
1998,861,0.56472,299679,3,6,2
1998,863,0.41886,151121,2,3,2
1998,864,0.42478,152091,2,3,2
1998,865,0.42757,116118,2,3,2
1998,866,0.45445,174130,2,4,2
1998,867,0.4087,64862,2,3,2
1998,868,0.38599,148484,1,2,1
1998,869,0.32913,121275,1,1,1
1998,874,0.45531,161453,2,4,2
1998,875,0.39253,82427,1,2,1
1998,876,0.49746,150809,3,5,2
1998,877,0.42862,155969,2,3,2
1998,880,0.29148,132829,1,1,1
1998,881,0.40417,84961,2,3,2
1998,882,0.41578,194447,2,3,2
1998,883,0.4664,109076,2,4,2
1998,884,0.35545,205210,1,2,1
1998,885,0.45655,35697,2,4,2
1998,886,0.38795,114420,1,2,1
1998,887,0.29071,10270,1,1,1
1998,890,0.35578,127307,1,2,1
1998,891,0.38066,136722,1,2,1
1998,892,0.46644,180478,2,4,2
1998,893,0.52658,91112,3,5,2
1998,894,0.56041,71973,3,6,2
1998,895,0.44519,169404,2,3,2
1998,896,0.38161,26244,1,2,1
1998,904,0.58715,520398,4,7,2
1998,905,0.35816,246494,1,2,1
1998,906,0.39735,26603,2,3,2
1998,907,0.56045,130488,3,6,2
1998,910,0.20387,206739,1,1,1
1998,911,0.40853,138242,2,3,2
1998,912,0.38523,131500,1,2,1
1998,913,0.36298,139342,1,2,1
1998,914,0.47316,85797,2,4,2
1998,915,0.52818,154450,3,5,2
1998,916,0.52621,52140,3,5,2
1998,917,0.54025,121033,3,6,2
1998,918,0.45884,10081,2,4,2
1998,922,0.54879,142559,3,6,2
1998,923,0.43979,138745,2,3,2
1998,924,0.51564,62333,3,5,2
1998,925,0.51808,47392,3,5,2
1998,926,0.572,100989,3,6,2
1998,927,0.54018,39091,3,6,2
1998,930,0.37318,232280,1,2,1
1998,931,0.43392,185918,2,3,2
1998,933,0.48175,92204,2,4,2
1998,934,0.55491,112342,3,6,2
1998,940,0.54851,143662,3,6,2
